id,description,heading,chapter,rulingDate,searchTerm
N359709,"a woman’s jacket",6202,62,2026-04-03,hoodie
N346848,"a textile costume trunk",9505,95,2025-03-20,hoodie
N341320,"a women’s recovery hoodie",6110,61,2024-08-12,hoodie
N335561,"a women’s hooded blouse",6106,61,2023-10-11,hoodie
N334502,"women’s blouses",6106,61,2023-08-08,hoodie
N329523,"the “Catnip Cuddle” doll and the “Stuffed Sea Guppy” fish-shaped pillow",9503,95,2022-12-02,hoodie
N327601,"a men’s hooded pullover",6110,61,2022-08-31,hoodie
N319174,"women’s and men’s upper body garments",6110,61,2021-05-24,hoodie
N310402,"a children’s jumpsuit",6211,62,2020-04-01,hoodie
N306326,"unisex jackets",6102,61,2019-10-15,hoodie
N286274,"a girls’ jacket",6102,61,2017-12-01,hoodie
N336897,"polyethylene retail carrier bags",3923,39,2023-12-12,t-shirt
N336728,"women’s knit garments",6109,61,2023-12-06,t-shirt
N332869,"a boy’s garment",6109,61,2023-05-31,t-shirt
N331830,"a nonwoven t-shirt style bag",6307,63,2023-04-13,t-shirt
N325544,"biodegradable plastic bags",3923,39,2022-04-26,t-shirt
N309146,"biodegradable plastic retail carrier bags",3923,39,2020-02-04,t-shirt
N305981,"men’s knit garments",6109,61,2019-09-23,t-shirt
N301538,"men’s work shirt",6211,62,2018-11-21,t-shirt
N323309,"men’s trousers",6203,62,2022-01-05,jeans
N303026,"women’s trousers",6204,62,2019-03-14,jeans
N360990,"a textile Halloween Basket",6307,63,2026-05-12,dress
N360145,"metal furniture",9403,94,2026-04-09,dress
N360271,"textile furniture",9403,94,2026-04-09,dress
N358985,"bib-shaped textile coverings",6307,63,2026-03-19,dress
N358801,"a framed canvas print",4911,49,2026-03-10,dress
N357841,"two costumes",9505,95,2026-01-20,dress
N361012,"women’s tops",6211,62,2026-05-21,jacket
N359769,"a polymerization reactor",8419,84,2026-03-25,jacket
N357848,"foot prostheses and their individual components",9021,90,2026-03-03,socks
N355778,"wading boots",6402,64,2025-12-05,socks
N355201,"workout footwear",6405,64,2025-11-14,socks
N350749,"socks from an undisclosed country",6115,61,2025-08-04,socks
N348907,"AFO Symmetry Straps",9021,90,2025-06-09,socks
N339073,"acrylic yarns",5509,55,2024-12-06,socks
N339080,"drawn textured polypropylene yarns",5402,54,2024-10-10,socks
N340134,"infant socks",6111,61,2024-05-31,socks
N334203,"a Foot Work reflexology kit",9019,90,2023-08-01,socks
N329665,"three steel hangers",8302,83,2022-12-20,socks
N323706,"cotton yarns",5205,52,2022-04-06,socks
